City,Category,Customer_Name,Year,Quarter,Month,Day,Email,Month,Year,Quarter,Month,Day,Order_ID,Order_Status,Payment_Mode,Phone,Product,State,Weekday,Sum of Discount,Sum of Net_Amount,Sum of Profit,Sum of Qty,Sum of Sales,Total Sales,Sum of Unit_Price,Sum of Year
Bengaluru,Furniture,Vikas,2025,Qtr 4,December,2,vikas86@gmail.com,February,2025,Qtr 1,February,9,ORD1305,Delivered,COD,9523265367,Chair,Karnataka,Sunday,0,7996,7996,4,7996,7996,1999,2025
Bengaluru,Home,Amit,2025,Qtr 2,April,23,amit5@gmail.com,April,2025,Qtr 2,April,23,ORD1139,Cancelled,UPI,9371222104,Bottle,Karnataka,Wednesday,0,7797,7797,3,7797,7797,2599,2025
Bengaluru,Home,Neha,2025,Qtr 2,May,20,neha45@gmail.com,May,2025,Qtr 2,May,20,ORD1391,Returned,Card,9753301285,Bottle,Karnataka,Tuesday,0,4995,4995,5,4995,4995,999,2025
Bengaluru,Home,Priya,2025,Qtr 2,May,19,priya54@gmail.com,May,2025,Qtr 2,May,19,ORD1449,Cancelled,UPI,9920350446,Bottle,Karnataka,Monday,0,7996,7996,4,7996,7996,1999,2025
Bengaluru,Home,Rahul,2025,Qtr 1,February,21,rahul73@gmail.com,February,2025,Qtr 1,February,21,ORD1318,Cancelled,NetBanking,9771789560,Bottle,Karnataka,Friday,0,998,998,2,998,998,499,2025
Bengaluru,Home,Rahul,2025,Qtr 2,May,7,rahul46@gmail.com,June,2025,Qtr 2,June,25,ORD1182,Returned,NetBanking,9993898089,Bottle,Karnataka,Wednesday,0,2495,2495,5,2495,2495,499,2025
Bengaluru,Home,Rahul,2025,Qtr 2,May,17,rahul24@gmail.com,May,2025,Qtr 2,May,17,ORD1370,Pending,Wallet,9244713912,Bottle,Karnataka,Saturday,0,24995,24995,5,24995,24995,4999,2025
Bengaluru,Home,Rahul,2025,Qtr 2,June,25,rahul11@gmail.com,June,2025,Qtr 2,June,25,ORD1041,Returned,UPI,9940596133,Bottle,Karnataka,Wednesday,0,49995,49995,5,49995,49995,9999,2025
Bengaluru,Home,Rahul,2025,Qtr 3,September,5,rahul31@gmail.com,May,2025,Qtr 2,May,4,ORD1088,Cancelled,Card,Unknown,Bottle,Karnataka,Sunday,0,49995,49995,5,49995,49995,9999,2025
Bengaluru,Home,Rahul,2025,Qtr 4,November,4,rahul47@gmail.com,April,2025,Qtr 2,April,1,ORD1469,Delivered,UPI,9815577094,Bottle,Karnataka,Tuesday,0,998,998,2,998,998,499,2025
Bengaluru,Home,Rohit,2025,Qtr 1,February,6,rohit23@gmail.com,May,2025,Qtr 2,May,31,ORD1112,Delivered,UPI,9476674723,Bottle,Karnataka,Saturday,0,10396,10396,4,10396,10396,2599,2025
Bengaluru,Home,Sneha,2025,Qtr 3,August,4,sneha71@gmail.com,April,2025,Qtr 2,April,5,ORD1026,Returned,Wallet,9967773139,Bottle,Karnataka,Saturday,0,39996,39996,4,39996,39996,9999,2025
Bengaluru,Home,Vikas,2025,Qtr 2,April,22,vikas58@gmail.com,April,2025,Qtr 2,April,22,ORD1087,Delivered,Card,9709409870,Bottle,Karnataka,Tuesday,0,12995,12995,5,12995,12995,2599,2025
Bengaluru,Home,Vikas,2025,Qtr 2,May,19,vikas29@gmail.com,May,2025,Qtr 2,May,19,ORD1273,Pending,NetBanking,9933581073,Bottle,Karnataka,Monday,0,4995,4995,5,4995,4995,999,2025
Bengaluru,Home,Vikas,2025,Qtr 3,July,5,vikas36@gmail.com,April,2025,Qtr 2,April,29,ORD1203,Cancelled,UPI,9900923665,Bottle,Karnataka,Tuesday,0,10396,10396,4,10396,10396,2599,2025
Bengaluru,Home,Vikas,2025,Qtr 3,September,6,vikas1@gmail.com,June,2025,Qtr 2,June,1,ORD1437,Cancelled,NetBanking,9541696034,Bottle,Karnataka,Sunday,0,10396,10396,4,10396,10396,2599,2025
Delhi,Electronics,Amit,2025,Qtr 1,January,7,amit42@gmail.com,June,2025,Qtr 2,June,23,ORD1327,Pending,Wallet,9292419662,Laptop,Delhi,Monday,0,3998,3998,2,3998,3998,1999,2025
Delhi,Electronics,Amit,2025,Qtr 1,February,14,amit62@gmail.com,February,2025,Qtr 1,February,14,ORD1151,Delivered,Wallet,9779578645,Mouse,Delhi,Friday,0,2599,2599,1,2599,2599,2599,2025
Delhi,Electronics,Amit,2025,Qtr 1,March,19,amit5@gmail.com,March,2025,Qtr 1,March,19,ORD1181,Cancelled,COD,9421136377,Laptop,Delhi,Wednesday,0,4497,4497,3,4497,4497,1499,2025
Delhi,Electronics,Amit,2025,Qtr 3,September,2,amit99@gmail.com,February,2025,Qtr 1,February,2,ORD1239,Delivered,COD,9298132383,Mouse,Delhi,Sunday,0,19996,19996,4,19996,19996,4999,2025
Delhi,Electronics,Priya,2025,Qtr 1,January,13,priya8@gmail.com,January,2025,Qtr 1,January,13,ORD1071,Returned,Card,9398321309,Laptop,Delhi,Monday,0,3996,3996,4,3996,3996,999,2025
Delhi,Electronics,Priya,2025,Qtr 4,December,5,priya19@gmail.com,May,2025,Qtr 2,May,8,ORD1137,Pending,Card,9332427755,Mouse,Delhi,Thursday,0,24995,24995,5,24995,24995,4999,2025
Delhi,Electronics,Rahul,2025,Qtr 1,February,6,rahul40@gmail.com,May,2025,Qtr 2,May,23,ORD1452,Cancelled,Wallet,9125077784,Laptop,Delhi,Friday,0,4995,4995,5,4995,4995,999,2025
Delhi,Electronics,Rahul,2025,Qtr 1,March,21,rahul55@gmail.com,March,2025,Qtr 1,March,21,ORD1259,Returned,Wallet,9414758374,Mouse,Delhi,Friday,0,4995,4995,5,4995,4995,999,2025
Delhi,Electronics,Rahul,2025,Qtr 2,April,16,rahul61@gmail.com,April,2025,Qtr 2,April,16,ORD1043,Pending,COD,9157741059,Laptop,Delhi,Wednesday,0,5198,5198,2,5198,5198,2599,2025
Delhi,Electronics,Rahul,2025,Qtr 2,June,6,rahul91@gmail.com,June,2025,Qtr 2,June,6,ORD1187,Returned,Card,9299209389,Mouse,Delhi,Friday,0,12995,12995,5,12995,12995,2599,2025
Delhi,Electronics,Rohit,2025,Qtr 1,January,4,rohit91@gmail.com,January,2025,Qtr 1,January,4,ORD1417,Pending,UPI,9485740696,Mouse,Delhi,Saturday,0,19996,19996,4,19996,19996,4999,2025
Delhi,Electronics,Rohit,2025,Qtr 2,April,9,rohit64@gmail.com,April,2025,Qtr 2,April,9,ORD1060,Returned,COD,9848493769,Laptop,Delhi,Wednesday,0,4995,4995,5,4995,4995,999,2025
Delhi,Electronics,Rohit,2025,Qtr 2,May,17,rohit4@gmail.com,May,2025,Qtr 2,May,17,ORD1094,Pending,UPI,9462327553,Mouse,Delhi,Saturday,0,29997,29997,3,29997,29997,9999,2025
Delhi,Electronics,Rohit,2025,Qtr 2,June,17,rohit47@gmail.com,June,2025,Qtr 2,June,17,ORD1401,Returned,COD,9281394007,Laptop,Delhi,Tuesday,0,7996,7996,4,7996,7996,1999,2025
Delhi,Electronics,Sneha,2025,Qtr 1,February,15,sneha32@gmail.com,February,2025,Qtr 1,February,15,ORD1488,Cancelled,Wallet,9335556096,Mouse,Delhi,Saturday,0,998,998,2,998,998,499,2025
Delhi,Electronics,Sneha,2025,Qtr 2,June,5,sneha27@gmail.com,June,2025,Qtr 2,June,5,ORD1345,Returned,NetBanking,9536056189,Mouse,Delhi,Thursday,0,499,499,1,499,499,499,2025
Delhi,Electronics,Sneha,2025,Qtr 2,June,15,sneha54@gmail.com,June,2025,Qtr 2,June,15,ORD1471,Returned,COD,9944717091,Laptop,Delhi,Sunday,0,10396,10396,4,10396,10396,2599,2025
Delhi,Electronics,Sneha,2025,Qtr 3,July,3,sneha27@gmail.com,March,2025,Qtr 1,March,5,ORD1493,Delivered,COD,9961393609,Mouse,Delhi,Wednesday,0,24995,24995,5,24995,24995,4999,2025
Delhi,Electronics,Sneha,2025,Qtr 4,December,2,sneha64@gmail.com,February,2025,Qtr 1,February,8,ORD1237,Pending,NetBanking,9609840956,Mouse,Delhi,Saturday,0,12995,12995,5,12995,12995,2599,2025
Delhi,Electronics,Vikas,2025,Qtr 1,March,18,vikas87@gmail.com,March,2025,Qtr 1,March,18,ORD1472,Delivered,Card,9861027886,Mouse,Delhi,Tuesday,0,7495,7495,5,7495,7495,1499,2025
Delhi,Fashion,Amit,2025,Qtr 2,May,9,amit95@gmail.com,May,2025,Qtr 2,May,9,ORD1422,Cancelled,NetBanking,9157480200,Watch,Delhi,Friday,0,24995,24995,5,24995,24995,4999,2025
Delhi,Fashion,Neha,2025,Qtr 1,January,2,neha63@gmail.com,January,2025,Qtr 1,January,22,ORD1122,Pending,Wallet,9156805257,Shoes,Delhi,Wednesday,0,5997,5997,3,5997,5997,1999,2025
Delhi,Fashion,Priya,2025,Qtr 1,February,2,priya62@gmail.com,January,2025,Qtr 1,January,23,ORD1230,Delivered,NetBanking,9703144165,Shoes,Delhi,Thursday,0,14997,14997,3,14997,14997,4999,2025
Delhi,Fashion,Priya,2025,Qtr 3,August,2,priya1@gmail.com,February,2025,Qtr 1,February,6,ORD1409,Returned,Wallet,9526867921,Watch,Delhi,Thursday,0,39996,39996,4,39996,39996,9999,2025
Delhi,Fashion,Rahul,2025,Qtr 1,January,23,rahul97@gmail.com,January,2025,Qtr 1,January,23,ORD1455,Pending,Card,9669206149,Shoes,Delhi,Thursday,0,5996,5996,4,5996,5996,1499,2025
Delhi,Fashion,Rahul,2025,Qtr 1,February,14,rahul56@gmail.com,February,2025,Qtr 1,February,14,ORD1185,Cancelled,NetBanking,9870048875,Watch,Delhi,Friday,0,999,999,1,999,999,999,2025
Delhi,Fashion,Rahul,2025,Qtr 1,February,26,rahul22@gmail.com,February,2025,Qtr 1,February,26,ORD1175,Returned,Wallet,9423004673,Watch,Delhi,Wednesday,0,1499,1499,1,1499,1499,1499,2025
Delhi,Fashion,Rahul,2025,Qtr 2,May,25,rahul17@gmail.com,May,2025,Qtr 2,May,25,ORD1115,Cancelled,COD,9306692646,Shoes,Delhi,Sunday,0,5198,5198,2,5198,5198,2599,2025
Delhi,Fashion,Rahul,2025,Qtr 2,June,1,rahul90@gmail.com,January,2025,Qtr 1,January,1,ORD1127,Returned,COD,9327541358,Watch,Delhi,Wednesday,0,3996,3996,4,3996,3996,999,2025
Delhi,Fashion,Rahul,2025,Qtr 3,July,3,rahul11@gmail.com,February,2025,Qtr 1,February,28,ORD1169,Cancelled,COD,9846751763,Watch,Delhi,Friday,0,2997,2997,3,2997,2997,999,2025
Delhi,Fashion,Sneha,2025,Qtr 2,April,19,sneha11@gmail.com,April,2025,Qtr 2,April,19,ORD1478,Delivered,NetBanking,9233212770,Shoes,Delhi,Saturday,0,3998,3998,2,3998,3998,1999,2025
Delhi,Furniture,Amit,2025,Qtr 1,January,7,amit15@gmail.com,June,2025,Qtr 2,June,28,ORD1247,Delivered,Card,9343013197,Chair,Delhi,Saturday,0,9995,9995,5,9995,9995,1999,2025
Delhi,Furniture,Neha,2025,Qtr 1,March,7,neha82@gmail.com,June,2025,Qtr 2,June,30,ORD1002,Pending,UPI,9829008196,Chair,Delhi,Monday,0,7996,7996,4,7996,7996,1999,2025
Delhi,Furniture,Neha,2025,Qtr 1,March,7,neha82@gmail.com,June,2025,Qtr 2,June,30,ORD1602,Pending,UPI,9829008196,Chair,Delhi,Monday,0,7996,7996,4,7996,7996,1999,2025
Delhi,Furniture,Neha,2025,Qtr 2,April,4,neha3@gmail.com,April,2025,Qtr 2,April,2,ORD1166,Delivered,COD,9921574268,Chair,Delhi,Wednesday,0,7495,7495,5,7495,7495,1499,2025
Delhi,Furniture,Rahul,2025,Qtr 2,April,5,rahul23@gmail.com,April,2025,Qtr 2,April,5,ORD1095,Cancelled,UPI,9141462098,Chair,Delhi,Saturday,0,1998,1998,2,1998,1998,999,2025
Delhi,Furniture,Rahul,2025,Qtr 2,April,13,rahul74@gmail.com,April,2025,Qtr 2,April,13,ORD1241,Cancelled,COD,9266228954,Chair,Delhi,Sunday,0,7495,7495,5,7495,7495,1499,2025
Delhi,Furniture,Rahul,2025,Qtr 2,April,20,rahul89@gmail.com,April,2025,Qtr 2,April,20,ORD1245,Pending,COD,9549999839,Chair,Delhi,Sunday,0,7495,7495,5,7495,7495,1499,2025
Delhi,Furniture,Rahul,2025,Qtr 4,December,2,rahul41@gmail.com,February,2025,Qtr 1,February,9,ORD1308,Pending,COD,Unknown,Chair,Delhi,Sunday,0,2998,2998,2,2998,2998,1499,2025
Delhi,Furniture,Sneha,2025,Qtr 1,February,16,sneha66@gmail.com,February,2025,Qtr 1,February,16,ORD1484,Cancelled,NetBanking,Unknown,Chair,Delhi,Sunday,0,39996,39996,4,39996,39996,9999,2025
Delhi,Furniture,Sneha,2025,Qtr 2,April,3,sneha18@gmail.com,February,2025,Qtr 1,February,28,ORD1070,Cancelled,Wallet,9191665927,Chair,Delhi,Friday,0,499,499,1,499,499,499,2025
Delhi,Furniture,Vikas,2025,Qtr 2,April,23,vikas87@gmail.com,April,2025,Qtr 2,April,23,ORD1352,Delivered,UPI,Unknown,Chair,Delhi,Wednesday,0,14997,14997,3,14997,14997,4999,2025
Delhi,Home,Amit,2025,Qtr 1,March,26,amit94@gmail.com,March,2025,Qtr 1,March,26,ORD1291,Pending,Card,9934522676,Bottle,Delhi,Wednesday,0,1998,1998,2,1998,1998,999,2025
Delhi,Home,Amit,2025,Qtr 2,April,12,amit77@gmail.com,April,2025,Qtr 2,April,12,ORD1183,Cancelled,NetBanking,9241602288,Bottle,Delhi,Saturday,0,39996,39996,4,39996,39996,9999,2025
Delhi,Home,Amit,2025,Qtr 2,April,23,amit78@gmail.com,April,2025,Qtr 2,April,23,ORD1233,Pending,NetBanking,9170597569,Bottle,Delhi,Wednesday,0,3996,3996,4,3996,3996,999,2025
Delhi,Home,Priya,2025,Qtr 3,August,4,priya86@gmail.com,April,2025,Qtr 2,April,2,ORD1444,Pending,NetBanking,9417981729,Bottle,Delhi,Wednesday,0,39996,39996,4,39996,39996,9999,2025
Delhi,Home,Rahul,2025,Qtr 2,May,9,rahul90@gmail.com,May,2025,Qtr 2,May,9,ORD1329,Returned,NetBanking,9706293416,Bottle,Delhi,Friday,0,24995,24995,5,24995,24995,4999,2025
Delhi,Home,Sneha,2025,Qtr 1,March,20,sneha50@gmail.com,March,2025,Qtr 1,March,20,ORD1494,Delivered,Wallet,9703494194,Bottle,Delhi,Thursday,0,4995,4995,5,4995,4995,999,2025
Jaipur,Electronics,Amit,2025,Qtr 3,August,5,amit6@gmail.com,May,2025,Qtr 2,May,6,ORD1004,Returned,COD,9943310925,Mouse,Rajasthan,Tuesday,0,5997,5997,3,5997,5997,1999,2025
Jaipur,Electronics,Amit,2025,Qtr 3,August,5,amit6@gmail.com,May,2025,Qtr 2,May,6,ORD1604,Returned,COD,9943310925,Mouse,Rajasthan,Tuesday,0,5997,5997,3,5997,5997,1999,2025
Jaipur,Electronics,Neha,2025,Qtr 1,February,13,neha66@gmail.com,February,2025,Qtr 1,February,13,ORD1408,Returned,Wallet,9629553838,Mouse,Rajasthan,Thursday,0,12995,12995,5,12995,12995,2599,2025
Jaipur,Electronics,Priya,2025,Qtr 1,March,5,priya59@gmail.com,April,2025,Qtr 2,April,26,ORD1498,Delivered,Wallet,9949870677,Mouse,Rajasthan,Saturday,0,7495,7495,5,7495,7495,1499,2025
Jaipur,Electronics,Rahul,2025,Qtr 1,February,4,rahul58@gmail.com,February,2025,Qtr 1,February,4,ORD1337,Cancelled,NetBanking,9753076727,Laptop,Rajasthan,Tuesday,0,3996,3996,4,3996,3996,999,2025
Jaipur,Electronics,Rahul,2025,Qtr 1,February,23,rahul12@gmail.com,February,2025,Qtr 1,February,23,ORD1343,Returned,NetBanking,9783047502,Laptop,Rajasthan,Sunday,0,10396,10396,4,10396,10396,2599,2025
Jaipur,Electronics,Rahul,2025,Qtr 1,March,20,rahul33@gmail.com,March,2025,Qtr 1,March,20,ORD1039,Returned,Wallet,9193291098,Laptop,Rajasthan,Thursday,0,2599,2599,1,2599,2599,2599,2025
Jaipur,Electronics,Rohit,2025,Qtr 2,June,15,rohit82@gmail.com,June,2025,Qtr 2,June,15,ORD1402,Returned,COD,9529644273,Laptop,Rajasthan,Sunday,0,1499,1499,1,1499,1499,1499,2025
Jaipur,Electronics,Sneha,2025,Qtr 2,May,21,sneha53@gmail.com,May,2025,Qtr 2,May,21,ORD1464,Cancelled,Card,9595254143,Laptop,Rajasthan,Wednesday,0,9995,9995,5,9995,9995,1999,2025
Jaipur,Electronics,Vikas,2025,Qtr 2,April,11,vikas57@gmail.com,April,2025,Qtr 2,April,11,ORD1215,Returned,Wallet,9116763158,Mouse,Rajasthan,Friday,0,49995,49995,5,49995,49995,9999,2025
Jaipur,Electronics,Vikas,2025,Qtr 2,June,5,vikas32@gmail.com,April,2025,Qtr 2,April,26,ORD1283,Returned,COD,9297674020,Laptop,Rajasthan,Saturday,0,7495,7495,5,7495,7495,1499,2025
Jaipur,Fashion,Neha,2025,Qtr 1,January,21,neha82@gmail.com,January,2025,Qtr 1,January,21,ORD1170,Delivered,COD,9558798402,Shoes,Rajasthan,Tuesday,0,7495,7495,5,7495,7495,1499,2025
Jaipur,Fashion,Neha,2025,Qtr 1,February,12,neha99@gmail.com,February,2025,Qtr 1,February,12,ORD1268,Pending,UPI,9434349945,Watch,Rajasthan,Wednesday,0,29997,29997,3,29997,29997,9999,2025
Jaipur,Fashion,Priya,2025,Qtr 2,May,1,priya66@gmail.com,January,2025,Qtr 1,January,3,ORD1470,Returned,Wallet,9458583296,Watch,Rajasthan,Friday,0,19998,19998,2,19998,19998,9999,2025
Jaipur,Fashion,Priya,2025,Qtr 4,November,1,priya11@gmail.com,January,2025,Qtr 1,January,4,ORD1323,Pending,COD,9838548948,Shoes,Rajasthan,Saturday,0,19998,19998,2,19998,19998,9999,2025
Jaipur,Fashion,Rahul,2025,Qtr 3,August,4,rahul23@gmail.com,April,2025,Qtr 2,April,1,ORD1461,Returned,UPI,9433791076,Shoes,Rajasthan,Tuesday,0,2998,2998,2,2998,2998,1499,2025
Jaipur,Fashion,Rohit,2025,Qtr 1,March,17,rohit24@gmail.com,March,2025,Qtr 1,March,17,ORD1047,Cancelled,NetBanking,9603990367,Shoes,Rajasthan,Monday,0,999,999,1,999,999,999,2025
Jaipur,Fashion,Sneha,2025,Qtr 1,February,14,sneha25@gmail.com,February,2025,Qtr 1,February,14,ORD1427,Pending,NetBanking,9764093062,Watch,Rajasthan,Friday,0,49995,49995,5,49995,49995,9999,2025
Jaipur,Fashion,Sneha,2025,Qtr 2,April,8,sneha88@gmail.com,April,2025,Qtr 2,April,8,ORD1309,Cancelled,COD,9392114679,Shoes,Rajasthan,Tuesday,0,3998,3998,2,3998,3998,1999,2025
Jaipur,Fashion,Sneha,2025,Qtr 2,April,16,sneha19@gmail.com,April,2025,Qtr 2,April,16,ORD1433,Cancelled,UPI,9818263600,Shoes,Rajasthan,Wednesday,0,2495,2495,5,2495,2495,499,2025
Jaipur,Fashion,Sneha,2025,Qtr 2,June,18,sneha20@gmail.com,June,2025,Qtr 2,June,18,ORD1152,Pending,Wallet,9205144628,Shoes,Rajasthan,Wednesday,0,9998,9998,2,9998,9998,4999,2025
Jaipur,Fashion,Vikas,2025,Qtr 1,January,12,vikas12@gmail.com,January,2025,Qtr 1,January,12,ORD1017,Pending,NetBanking,9498228945,Watch,Rajasthan,Sunday,0,4999,4999,1,4999,4999,4999,2025
Jaipur,Fashion,Vikas,2025,Qtr 1,March,4,vikas42@gmail.com,March,2025,Qtr 1,March,31,ORD1289,Delivered,COD,9651366276,Watch,Rajasthan,Monday,0,4995,4995,5,4995,4995,999,2025
